"Comment","Designator","Footprint","LCSC Part #","JLC Part #","Attributes"
"CL05A104KA5NNNC","C9,C11,C13,C15,C16,C17,C20,C21,C22,C23,C24,C25","C_0402_1005Metric","C100072","","100n 10% 25V XR 0402"
"GRT188R61H105KE13D","C1,C2,C3,C4,C5,C8,C10,C12,C14","C_0603_1608Metric","C5673","","1u 10V XR 0603"
"GRT188R61H105KE13D","C18,C19","C_0603_1608Metric","C5673","","1u 10V XR 0603"
"GRM21BR71C106KE51L","C6,C7","C_0805_2012Metric","C408142","","10u 10V XR 0805"
"DF12NB-50DS-0.5V(51)","J3","HRS_DF12NB-50DS-0.5V_51","C2858672","","CONN RCPT 50POS SMD GOLD"
"DF12NB-60DS-0.5V(51)","J1","HRS_DF12NB-60DS-0.5V_51","C5137127","","CONN RCPT 60POS SMD GOLD"
"RC0805JR-100RL","R13,R14,R15","R_0805_2012Metric","C4143065","","RES SMD 0 OHM JUMPER 0805"
"CRG0603ZR","R2,R4,R8","R_0603_1608Metric","C95177","","RES SMD 0 OHM JUMPER 1/10W 0603"
"RC0402JR-070RL","R5","R_0402_1005Metric","C60485","","0R 0402"
"CR0402-FX-1001GLF","R9,R10","R_0402_1005Metric","C11702","","1k 0402"
"AP2112K-1.8TRG1","U1","SOT-23-5","C176944","","VREG 1.8V SOT-25"
"TT_ASIC","U4","QFN-64-1EP_9x9mm_P0.5mm_EP7.65x7.65mm","TT_ASIC_CHIP","","ASIC IC"
